stock_code;description;total_revenue;total_units;avg_discount;promo_revenue
22937;BAKING MOULD CHOCOLATE CUPCAKES;2507,14;  950;-0,1466;37,80
22075;6 RIBBONS ELEGANT CHRISTMAS;2503,34; 1800;-0,0703;965,37
21107;CREAM SLICE FLANNEL PINK SPOT;2501,56;  904;-0,2902;1713,60
23367;SET 12 COLOUR PENCILS SPACEBOY;2495,75; 3285;-0,1618;13,20
21903;MAN FLU METAL SIGN;2494,33; 1162;-0,1910;643,80
22215;CAKE STAND WHITE TWO TIER LACE;2471,39;  343;-0,0016;724,50
23352;ROLL WRAP 50'S RED CHRISTMAS;2462,95; 1803;-0,2074;149,76
85062;PEARL CRYSTAL PUMPKIN T-LIGHT HLDR;2449,30; 1474;-0,0847;348,00
23489;VINTAGE BELLS GARLAND;2443,35;  821;-0,1221;119,52
85184C;S/4 VALENTINE DECOUPAGE HEART BOX;2443,04; 1484;0,0331;1532,45
22374;AIRLINE BAG VINTAGE JET SET RED;2440,27;  549;-0,1213;331,80
84032B;CHARLIE + LOLA RED HOT WATER BOTTLE;2430,44;  939;-0,0578;319,61
21875;KINGS CHOICE MUG;2429,38; 2055;-0,4672;1488,24
23406;HOME SWEET HOME KEY HOLDER;2428,91;  457;-0,1364;1173,54
22807;SET OF 6 T-LIGHTS TOADSTOOLS;2428,18;  825;-0,2723;641,94
22573;STAR WOODEN CHRISTMAS DECORATION;2427,25; 2689;-0,3185;432,00
23265;SET OF 3 WOODEN TREE DECORATIONS;2423,54; 1784;-0,1800;37,44
22743;MAKE YOUR OWN FLOWERPOWER CARD KIT;2420,34;  934;-0,2337;435,98
22811;SET OF 6 T-LIGHTS CACTI;2419,29;  881;-0,3008;1659,16
22437;SET OF 9 BLACK SKULL BALLOONS;2418,94; 2830;-0,1951;302,40
21328;BALLOONS  WRITING SET;2418,68; 1342;-0,3578;258,13
23400;SHELF WITH 4 HOOKS HOME SWEET HOME;2409,34;  461;-0,0967;1147,36
22167;OVAL WALL MIRROR DIAMANTE;2401,07;  237;-0,2991;94,80
20978;36 PENCILS TUBE SKULLS;2400,05; 1799;-0,2913;136,75
84796B;BLUE SAVANNAH PICNIC HAMPER FOR 2;2393,59;  256;-0,1172;0,00
84969;BOX OF 6 ASSORTED COLOUR TEASPOONS;2389,52;  558;-0,4166;0,00
11001;ASSTD DESIGN RACING CAR PEN;2389,44; 1615;-0,1183;822,51
22440;BALLOON WATER BOMB PACK OF 35;2385,12; 6034;-0,0822;1335,60
23048;SET OF 10 LANTERNS FAIRY LIGHT STAR;2384,97;  581;-0,1214;750,00
20983;12 PENCILS TALL TUBE RED RETROSPOT;2382,46; 2746;-0,0964;34,56
22282;12 EGG HOUSE PAINTED WOOD;2378,52;  149;-0,3502;87,60
23498;CLASSIC BICYCLE CLIPS;2378,48; 1644;-0,1380;360,00
21811;HANGING HEART WITH BELL;2376,05; 4620;-1,3532;0,00
22851;SET 20 NAPKINS FAIRY CAKES DESIGN;2375,44; 2749;-0,1737;414,72
84997d;CHILDRENS CUTLERY POLKADOT PINK;2372,33;  285;-0,0174;0,00
23535;BICYCLE SAFTEY WALL ART;2371,94;  458;0,0282;1574,64
23396;LE JARDIN BOTANIQUE CUSHION COVER;2371,25;  566;-0,2657;39,48
37500;TEA TIME TEAPOT IN GIFT BOX;2360,68;  380;-0,4568;0,00
22070;SMALL RED RETROSPOT MUG IN BOX;2358,15;  949;-0,1227;1185,44
21495;SKULLS AND CROSSBONES WRAP;2356,00; 5800;0,0055;445,00
23401;RUSTIC MIRROR WITH LACE HEART;2354,87;  459;-0,1345;1374,26
23412;HEART MIRROR ANTIQUE WHITE;2354,80;  358;-0,0299;956,64
22548;HEADS AND TAILS SPORTING FUN;2351,44; 1977;-0,1266;708,24
22425;ENAMEL COLANDER CREAM;2346,12;  460;-0,1555;408,00
23437;50'S CHRISTMAS GIFT BAG LARGE;2343,63; 1915;-0,1413;416,00
21700;BIG DOUGHNUT FRIDGE MAGNETS;2334,94; 1726;-3,6555;0,00
20977;36 PENCILS TUBE WOODLAND;2331,14; 1741;-0,2072;135,68
16156S;WRAP PINK FAIRY CAKES;2331,00; 5800;0,0074;514,50
22829;SWEETHEART WIRE WALL TIDY;2315,33;  229;-0,0911;425,00
22736;RIBBON REEL MAKING SNOWMEN;2315,25; 1233;-0,4393;174,00
22483;RED GINGHAM TEDDY BEAR;2314,74;  774;-0,2153;673,20
23371;SET 36 COLOUR PENCILS SPACEBOY;2313,53; 1712;-0,2076;542,72
84950;ASSORTED COLOUR T-LIGHT HOLDER;2304,83; 3631;-0,2539;1161,60
21982;PACK OF 12 SUKI TISSUES;2304,14; 7612;-0,6254;589,92
22441;GROW YOUR OWN BASIL IN ENAMEL MUG;2301,31; 1051;-0,2149;133,20
23330;DECORATIVE WICKER HEART MEDIUM;2299,47; 1804;-0,0873;37,44
71459;HANGING JAM JAR T-LIGHT HOLDERS;2298,05; 2813;-0,2286;1071,36
85175;CACTI T-LIGHT CANDLES;2292,34; 5353;-1,3370;714,24
22185;SLATE TILE NATURAL HANGING;2291,44; 1510;-0,1784;810,41
84997b;CHILDRENS CUTLERY RETROSPOT RED;2287,37;  273;-0,0403;0,00
23029;DRAWER KNOB CRACKLE GLAZE GREEN;2284,12; 1340;-0,1146;278,40
21813;GARLAND WITH STARS AND BELLS;2280,47;  549;-0,4169;0,00
21896;POTTING SHED TWINE;2279,09;  983;-0,1487;1,85
23197;SKETCHBOOK MAGNETIC SHOPPING LIST;2274,00; 1456;-0,3483;420,00
22914;BLUE COAT RACK PARIS FASHION;2266,16;  468;-0,1117;395,64
22983;CARD BILLBOARD FONT;2261,60; 5302;-0,2497;281,16
46000S;POLYESTER FILLER PAD 40x40cm;2256,20; 1556;0,0000;0,00
21069;VINTAGE BILLBOARD TEA MUG;2251,77; 1950;-0,3903;1595,30
22030;SWALLOWS GREETING CARD;2247,97; 5551;-0,1036;808,20
23252;VINTAGE RED ENAMEL TRIM JUG;2246,61;  599;-0,0765;315,84
23093;SMALL PARISIENNE HEART PHOTO FRAME;2244,22;  941;-0,1181;362,24
23079;TOADSTOOL BEDSIDE LIGHT;2243,35;  253;0,0014;247,50
23326;HANGING MINI COLOURED BOTTLES;2237,71; 3443;-3,1459;754,08
21989;PACK OF 20 SKULL PAPER NAPKINS;2235,65; 2412;-0,3533;407,04
21471;STRAWBERRY RAFFIA FOOD COVER;2228,09;  641;0,0217;994,10
22601;CHRISTMAS RETROSPOT ANGEL WOOD;2222,38; 2482;-0,2618;527,04
23501;KEY RING BASEBALL BOOT UNION JACK;2220,37; 1823;-0,1930;540,80
22478;BIRDHOUSE GARDEN MARKER;2218,12; 1543;-0,4234;0,00
84997c;CHILDRENS CUTLERY POLKADOT BLUE;2216,21;  265;-0,0389;0,00
37448;CERAMIC CAKE DESIGN SPOTTED MUG;2214,08; 1456;-0,2013;255,00
21794;CLASSIC FRENCH STYLE BASKET NATURAL;2213,42;  522;-0,2483;20,00
82494l;WOODEN FRAME ANTIQUE WHITE;2211,60;  264;-0,0025;0,00
23403;LETTER HOLDER HOME SWEET HOME;2207,86;  626;-0,1652;817,81
10135;COLOURING PENCILS BROWN TUBE;2207,39; 2231;-0,1288;640,30
21042;RED RETROSPOT APRON;2205,47;  335;-0,2143;0,00
22574;HEART WOODEN CHRISTMAS DECORATION;2202,14; 2336;-0,3082;17,28
21900;KEY FOB , SHED;2201,07; 3234;-0,4600;330,72
23302;KNEELING MAT HOUSEWORK  DESIGN;2194,62; 1544;-0,1422;786,11
22571;ROCKING HORSE RED CHRISTMAS;2191,43; 2441;-0,2655;345,60
22763;KEY CABINET MA CAMPAGNE;2186,27;  207;-0,1356;204,00
23436;VINTAGE CHRISTMAS GIFT BAG LARGE;2182,39; 1831;-0,1688;790,40
85038;6 CHOCOLATE LOVE HEART T-LIGHTS;2179,66; 1065;-0,2063;1037,22
23445;ICE CREAM BUBBLES;2177,84; 2688;-0,0429;432,00
22357;KINGS CHOICE BISCUIT TIN;2175,04;  468;-0,2550;315,00
21878;PACK OF 6 SANDCASTLE FLAGS ASSORTED;2173,05; 2524;-0,2830;357,91
22377;BOTTLE BAG RETROSPOT;2171,53; 1330;-0,1542;902,16
22704;WRAP RED APPLES;2168,76; 5278;0,0022;204,00
22121;NOEL WOODEN BLOCK LETTERS;2165,65;  353;-0,1533;735,75
21592;RETROSPOT CIGAR BOX MATCHES;2164,46; 2162;0,0936;524,46
22732;3D VINTAGE CHRISTMAS STICKERS;2162,75; 1645;-0,2542;114,48
23031;DRAWER KNOB CRACKLE GLAZE PINK;2162,20; 1284;-0,1074;278,40
21249;WOODLAND  HEIGHT CHART STICKERS;2160,00;  724;-0,3120;688,50
22107;PIZZA PLATE IN BOX;2158,06;  594;-0,2827;56,25
22920;HERB MARKER BASIL;2155,94; 3427;-0,3184;899,25
82581;TOILET METAL SIGN;2155,89; 3883;-0,3251;440,16
22588;CARD HOLDER GINGHAM HEART;2149,31;  687;-0,2099;367,20
23028;DRAWER KNOB CRACKLE GLAZE BLUE;2148,53; 1213;-0,1702;278,40
23005;TRAVEL CARD WALLET I LOVE LONDON;2147,55; 4783;-0,2383;345,60
22973;CHILDREN'S CIRCUS PARADE MUG;2145,91; 1261;-0,2308;330,60
23161;REGENCY CAKE FORK;2145,30; 1715;-0,2744;561,60
23232;WRAP VINTAGE LEAF DESIGN;2140,92; 5326;0,0062;492,00
23213;STAR WREATH DECORATION WITH BELL;2139,67; 1683;-0,1881;349,44
40016;CHINESE DRAGON PAPER LANTERNS;2136,34; 5556;-4,4269;684,00
21232;STRAWBERRY CERAMIC TRINKET POT;2133,72; 1371;-0,4199;228,96
22509;SEWING BOX RETROSPOT DESIGN;2132,44;  211;0,2293;999,50
22128;PARTY CONES CANDY ASSORTED;2127,53; 1762;-0,1167;661,44
37450;CERAMIC CAKE BOWL + HANGING CAKES;2126,39;  717;-0,2370;826,20
22891;TEA FOR ONE POLKADOT;2125,18;  424;-0,3616;180,00
84356;POMPOM CURTAIN;2124,15;  424;0,1247;1501,32
22498;WOODEN REGATTA BUNTING;2121,99;  334;-0,1493;312,48
21980;PACK OF 12 RED RETROSPOT TISSUES;2121,76; 6687;-0,3998;216,00
22156;HEART DECORATION WITH PEARLS;2114,83; 2198;-0,3726;52,56
21718;RED METAL BEACH SPADE;2114,64; 1494;-0,3654;0,00
23046;PAPER LANTERN 9 POINT DELUXE STAR;2111,49;  349;-0,0240;1380,00
20751;FUNKY WASHING UP GLOVES ASSORTED;2108,72; 1003;-0,1160;243,36
23438;RED SPOT GIFT BAG LARGE;2107,42; 1727;-0,0998;416,00
23233;WRAP POPPIES  DESIGN;2105,50; 5175;0,0033;352,00
21506;FANCY FONT BIRTHDAY CARD,;2101,01; 4958;-0,2122;479,52
22996;TRAVEL CARD WALLET VINTAGE TICKET;2099,97; 4813;-0,2592;190,08
23152;IVORY SWEETHEART WIRE LETTER RACK;2095,65;  558;-0,0532;284,76
22733;3D TRADITIONAL CHRISTMAS STICKERS;2095,08; 1583;-0,2129;0,00
23315;IVORY REFECTORY CLOCK;2094,24;  213;-0,0831;521,60
22059;CERAMIC STRAWBERRY DESIGN MUG;2094,24; 1790;-0,0750;616,95
23251;VINTAGE RED ENAMEL TRIM MUG;2092,00; 1701;-0,1301;499,20
22744;MAKE YOUR OWN MONSOON CARD KIT;2091,54;  870;-0,0539;320,69
21609;SET 12 LAVENDER  BOTANICAL T-LIGHTS;2089,64;  764;-0,0289;1101,60
22593;CHRISTMAS GINGHAM STAR;2087,34; 2265;-0,3194;207,36
22747;POPPY'S PLAYHOUSE BATHROOM;2087,15;  957;-0,1875;333,00
22055;MINI CAKE STAND  HANGING STRAWBERY;2086,49; 1377;-0,2620;566,18
23526;DOG LICENCE WALL ART;2081,64;  408;0,0344;1510,44
23360;SET 8 CANDLES VINTAGE DOILY;2079,85; 1065;-0,0609;356,40
22863;SOAP DISH BROCANTE;2076,63;  721;-0,1150;612,00
23370;SET 36 COLOURING PENCILS DOILY;2076,60; 1490;-0,2294;271,36
23536;VILLAGE SHOW WALL ART;2072,42;  386;0,0360;1739,22
22831;WHITE BROCANTE SOAP DISH;2070,90;  706;-0,1251;367,20
22955;36 FOIL STAR CAKE CASES;2070,15; 1048;-0,0994;843,44
23227;FILIGREE HEART BUTTERFLY WHITE;2070,06; 1642;-0,2590;224,64
22935;BAKING MOULD ROSE MILK CHOCOLATE;2066,82;  690;-0,1707;1226,50
23020;GLASS  SONGBIRD STORAGE JAR;2065,14;  169;-0,0428;802,80
23291;DOLLY GIRL CHILDRENS CUP;2060,28; 1635;-0,2179;504,00
23490;T-LIGHT HOLDER HANGING LOVE BIRD;2055,27;  548;-0,0558;236,88
22101;MIRROR MOSAIC VOTIVE HOLDER;2053,17; 1438;0,0789;834,22
47504K;ENGLISH ROSE GARDEN SECATEURS;2049,45; 2019;-0,9646;0,00
23500;KEY RING BASEBALL BOOT ASSORTED;2044,58; 1631;-0,1039;228,80
21864;UNION JACK FLAG PASSPORT COVER;2043,79;  829;-0,3618;404,16
22414;DOORMAT NEIGHBOURHOOD WITCH;2038,39;  279;-0,2695;789,90
22803;IVORY EMBROIDERED QUILT;2038,09;   54;0,0244;1236,49
20674;GREEN POLKADOT BOWL;2032,48; 1576;-0,2482;381,60
22080;RIBBON REEL POLKADOTS;2028,23; 1221;-0,1945;348,00
84880;WHITE WIRE EGG HOLDER;2027,74;  314;-0,0325;1107,10
22788;BROCANTE COAT RACK;2025,96;  220;-0,2120;788,80
22115;METAL SIGN EMPIRE TEA;2020,91; 1549;-1,9709;0,00
23268;SET OF 2 CERAMIC CHRISTMAS REINDEER;2019,59; 1448;-0,1644;840,00
51014A;FEATHER PEN,HOT PINK;2018,78; 3890;-0,6792;1,20
22897;OVEN MITT APPLES DESIGN;2016,00; 1352;-0,2504;357,50
23543;KEEP CALM WALL ART;2015,97;  269;0,0368;1776,72
22959;WRAP CHRISTMAS VILLAGE;2014,42; 4901;0,0037;208,00
23289;DOLLY GIRL CHILDRENS BOWL;2013,70; 1622;-0,2294;453,60
22859;EASTER TIN BUNNY BOUQUET;2012,97; 1209;-0,1647;477,05
21622;VINTAGE UNION JACK CUSHION COVER;2012,34;  386;-0,1762;102,00
23358;HOT STUFF HOT WATER BOTTLE;2012,13;  595;-0,1183;447,09
22364;GLASS JAR DIGESTIVE BISCUITS;2010,17;  619;-0,4067;698,70
22503;CABIN BAG VINTAGE PAISLEY;2010,12;   99;-0,3536;497,25
23274;STAR T-LIGHT HOLDER WILLIE WINKIE;2009,95; 1183;-0,2162;174,00
85049G;CHOCOLATE BOX RIBBONS;2007,94; 1615;-0,1196;305,28
23066;SMALL DECO JEWELLERY STAND;2005,81;  243;-0,0876;536,40
21591;COSY HOUR CIGAR BOX MATCHES;2001,14; 1378;-0,0077;152,64
22186;RED STAR CARD HOLDER;1997,48;  848;-0,5610;0,00
22928;YELLOW GIANT GARDEN THERMOMETER;1993,75;  288;-0,3083;178,20
23357;HOT WATER BOTTLE SEX BOMB;1993,60;  453;-0,0046;724,85
72802B;OCEAN SCENT CANDLE IN JEWELLED BOX;1993,48; 1028;0,0173;893,18
22579;WOODEN TREE CHRISTMAS SCANDINAVIAN;1988,89; 5170;-0,7784;0,00
37446;MINI CAKE STAND WITH HANGING CAKES;1986,24; 1361;-0,2202;660,00
22932;BAKING MOULD TOFFEE CUP CHOCOLATE;1985,58;  878;-0,0630;1272,60
22466;FAIRY TALE COTTAGE NIGHT LIGHT;1981,29;  977;-0,3114;336,60
22477;WATERING CAN GARDEN MARKER;1980,40; 1374;-0,4210;0,00
15039;SANDALWOOD FAN;1979,49; 2091;0,2395;1156,95
21916;SET 12 RETRO WHITE CHALK STICKS;1973,91; 4600;-0,2993;414,72
22931;BAKING MOULD HEART WHITE CHOCOLATE;1968,40;  815;-0,1081;693,00
20992;JAZZ HEARTS PURSE NOTEBOOK;1965,81; 4451;-0,3980;0,00
23374;RED SPOT PAPER GIFT BAG;1962,83; 2456;-0,0575;432,00
22312;OFFICE MUG WARMER POLKADOT;1962,29;  649;-0,2208;156,75
84031A;CHARLIE+LOLA RED HOT WATER BOTTLE;1961,16;  431;-0,0905;108,75
23228;FILIGREE HEART BIRD WHITE;1960,00; 1492;-0,4326;224,64
23145;ZINC T-LIGHT HOLDER STAR LARGE;1956,68; 2060;-0,1376;180,12
85123a;WHITE HANGING HEART T-LIGHT HOLDER;1952,48;  292;-0,0016;0,00
84596F;SMALL MARSHMALLOWS PINK BOWL;1952,00; 3748;-0,5046;0,00
22291;HANGING CHICK CREAM DECORATION;1946,62; 1317;-0,1216;53,75
22824;3 TIER SWEETHEART GARDEN SHELF;1938,25;   55;0,0078;428,35
22412;METAL SIGN NEIGHBOURHOOD WITCH;1938,15;  914;-0,2171;421,80
22639;SET OF 4 NAPKIN CHARMS HEARTS;1937,71;  806;-0,0945;464,03
23231;WRAP DOILEY DESIGN;1927,26; 4703;0,0035;204,00
21192;WHITE BELL HONEYCOMB PAPER;1924,94; 1093;-0,4771;974,40
23094;LE GRAND TRAY CHIC SET;1924,92;  152;-0,0252;0,00
22199;FRYING PAN RED RETROSPOT;1923,59;  467;-0,2418;385,00
22183;CAKE STAND VICTORIAN FILIGREE MED;1916,01;  322;-0,0289;3,00
23155;KNICKERBOCKERGLORY MAGNET ASSORTED;1914,73; 2233;-0,7623;449,28
21112;SWISS ROLL TOWEL PINK  SPOTS;1913,69;  706;-0,2343;903,60
20963;APPLE BATH SPONGE;1913,67; 1338;-0,4564;0,00
23128;FELTCRAFT BOY JEAN-PAUL KIT;1909,51;  371;-0,0697;116,44
21534;DAIRY MAID LARGE MILK JUG;1908,88;  376;-0,0991;272,77
22594;CHRISTMAS GINGHAM TREE;1905,77; 2006;-0,3840;207,36
84968F;SET OF 16 VINTAGE SKY BLUE CUTLERY;1905,68;  177;0,0336;1014,84
23068;ALUMINIUM STAMPED HEART;1902,19;  783;-0,0398;341,12
23491;VINTAGE JINGLE BELLS HEART;1897,76;  228;-0,0257;0,00
85061W;WHITE JEWELLED HEART DECORATION;1897,45; 2164;-0,2844;245,76
23235;STORAGE TIN VINTAGE LEAF;1893,13;  715;-0,0279;676,35
16169E;WRAP 50'S  CHRISTMAS;1892,46; 4563;0,0019;144,00
23434;3 RAFFIA RIBBONS 50'S CHRISTMAS;1892,07; 2105;-0,1136;0,00
21068;VINTAGE BILLBOARD LOVE/HATE MUG;1890,33; 1638;-0,3355;828,96
23075;PARLOUR CERAMIC WALL HOOK;1889,75;  455;-0,0243;180,00
23394;POSTE FRANCE CUSHION COVER;1888,90;  438;-0,3149;0,00
35004C;SET OF 3 COLOURED  FLYING DUCKS;1888,10;  394;0,0376;1506,60
22602;RETROSPOT WOODEN HEART DECORATION;1887,98; 2078;-0,2956;138,24
15058B;PINK POLKADOT GARDEN PARASOL;1885,27;  228;0,0833;1044,30
20982;12 PENCILS TALL TUBE SKULLS;1884,92; 2156;-0,1241;34,56
22027;TEA PARTY BIRTHDAY CARD;1883,79; 4392;-0,2691;311,04
22534;MAGIC DRAWING SLATE SPACEBOY;1871,12; 4496;-0,2041;501,12
22198;LARGE POPCORN HOLDER;1870,91; 1025;-0,3531;507,50
23090;VINTAGE GLASS T-LIGHT HOLDER;1870,86; 2238;-0,1784;336,96
22858;EASTER TIN KEEPSAKE;1865,73; 1129;-0,1753;478,50
70006;LOVE HEART POCKET WARMER;1865,63; 2703;-0,0422;1045,55
21988;PACK OF 6 SKULL PAPER PLATES;1862,75; 2321;-0,1984;614,40
21870;I CAN ONLY PLEASE ONE PERSON MUG;1861,46; 1415;-0,2576;152,64
22220;CAKE STAND LOVEBIRD 2 TIER WHITE;1859,20;  232;-0,0065;454,75
22428;ENAMEL FIRE BUCKET CREAM;1854,76;  246;-0,1812;152,40
72807A;SET/3 ROSE CANDLE IN JEWELLED BOX;1849,82;  394;-0,3427;335,28
22944;CHRISTMAS METAL POSTCARD WITH BELLS;1843,64; 3375;-2,3817;0,00
21557;SET OF 6 FUNKY BEAKERS;1843,61;  551;-0,4118;636,23
23378;PACK OF 12 50'S CHRISTMAS TISSUES;1842,42; 4003;-0,1828;276,48
22712;CARD DOLLY GIRL;1842,36; 4483;-0,3033;622,08
21034;REX CASH+CARRY JUMBO SHOPPER;1842,05; 1939;0,0000;0,00
21873;IF YOU CAN'T STAND THE HEAT MUG;1838,05; 1621;-0,2809;334,08
22651;GENTLEMAN SHIRT REPAIR KIT;1837,47; 2166;-0,3387;599,57
21713;CITRONELLA CANDLE FLOWERPOT;1836,64;  795;-0,1907;177,60
21564;PINK  HEART SHAPE LOVE BUCKET;1831,62; 1042;-0,0903;624,63
22452;MEASURING TAPE BABUSHKA PINK;1831,11;  746;0,2110;689,68
72807B;SET/3 OCEAN SCENT CANDLE JEWEL BOX;1830,71;  397;-0,2587;381,00
23109;LED TEA LIGHTS;1829,65;  635;-0,1307;268,92
15044D;RED PAPER PARASOL;1822,71;  645;-0,1284;800,70
22223;CAKE PLATE LOVEBIRD PINK;1821,61;  441;-0,0717;713,26
23160;REGENCY TEA SPOON;1809,48; 1462;-0,1881;436,80
22200;FRYING PAN PINK POLKADOT;1809,48;  398;-0,3899;436,25
21114;LAVENDER SCENTED FABRIC HEART;1809,33; 1366;-0,5365;21,20
15060B;FAIRY CAKE DESIGN UMBRELLA;1807,55;  451;-0,3315;265,50
22536;MAGIC DRAWING SLATE PURDEY;1805,21; 4755;-0,0475;840,96
85034C;3 ROSE MORRIS BOXED CANDLES;1805,00; 1133;-0,8189;0,00
21832;CHOCOLATE CALCULATOR;1800,00;  960;-0,4116;0,00
21245;GREEN POLKADOT PLATE;1792,27; 1078;-0,1842;556,80
23317;BLUE REFECTORY CLOCK;1787,41;  174;-0,1268;244,50
21055;TOOL BOX SOFT TOY;1782,54;  180;-0,1651;89,52
22832;BROCANTE SHELF WITH HOOKS;1781,82;  162;-0,0729;258,70
23148;MINIATURE ANTIQUE ROSE HOOK IVORY;1779,66; 2096;-0,1005;17,28
85035C;ROSE 3 WICK MORRIS BOX CANDLE;1779,41; 1152;-0,9918;0,00
22710;WRAP I LOVE LONDON;1774,42; 4501;0,0087;556,00
22562;MONSTERS STENCIL CRAFT;1773,37; 1421;-0,0909;178,08
21439;BASKET OF TOADSTOOLS;1767,15; 1430;-0,2590;432,48
22119;PEACE WOODEN BLOCK LETTERS;1766,57;  351;0,0930;493,80
21056;DOCTOR'S BAG SOFT TOY;1765,40;  184;-0,1311;318,00
22314;OFFICE MUG WARMER CHOC+BLUE;1762,07;  571;-0,3406;131,55
23096;PETIT TRAY CHIC;1759,79; 1047;-0,2259;313,20
22852;DOG BOWL VINTAGE CREAM;1757,88;  390;-0,0910;18,75
21584;RETROSPOT SMALL TUBE MATCHES;1754,90; 1066;0,0008;29,00
23359;SET OF 12 T-LIGHTS VINTAGE DOILY;1753,36;  932;-0,0198;376,20
23372;SET 36 COLOUR PENCILS DOLLY GIRL;1752,79; 1391;-0,2871;542,72
23399;HOME SWEET HOME HANGING HEART;1752,35; 1922;-0,2948;17,28
21812;GARLAND WITH HEARTS AND BELLS;1751,22;  394;-0,5736;0,00
20961;STRAWBERRY BATH SPONGE;1749,18; 1235;-0,4312;0,00
23101;SILVER STARS TABLE DECORATION;1744,61; 2037;-0,1701;276,48
20981;12 PENCILS TALL TUBE WOODLAND;1742,27; 1976;-0,1321;0,00
23181;BULL DOG BOTTLE TOP WALL CLOCK;1733,57;  201;-0,1420;420,00
21329;DINOSAURS  WRITING SET;1728,64;  944;-0,3056;140,27
23122;PARTY CHARMS 50 PIECES;1727,75; 2253;-0,2477;892,80
47570B;TEA TIME TABLE CLOTH;1727,23;  185;-0,0752;1078,23
21586;KINGS CHOICE GIANT TUBE MATCHES;1721,85;  743;0,0184;806,40
21845;DAIRY MAID STRIPE MUG;1721,09; 1907;-0,3892;0,00
22526;WHEELBARROW FOR CHILDREN;1720,26;  125;-0,1331;131,40
85015;SET OF 12  VINTAGE POSTCARD SET;1719,84; 2182;-1,0214;0,00
23073;GEORGIAN TRINKET BOX;1719,00;  144;0,0070;669,00
22544;MINI JIGSAW SPACEBOY;1716,18; 4521;-0,2602;720,41
22037;ROBOT BIRTHDAY CARD;1715,48; 3977;-0,2583;129,60
22227;HANGING HEART MIRROR DECORATION;1708,07; 2341;-0,3720;52,80
22934;BAKING MOULD EASTER EGG WHITE CHOC;1707,47;  589;-0,0933;795,60
22816;CARD MOTORBIKE SANTA;1706,88; 4023;-0,0940;142,56
21917;SET 12 KIDS  WHITE CHALK STICKS;1704,03; 4156;-0,1822;414,72
22674;FRENCH TOILET SIGN BLUE METAL;1697,72; 1350;-0,2132;318,00
37340;MULTICOLOUR SPRING FLOWER MUG;1695,86; 2544;-5,8311;0,00
51008;AFGHAN SLIPPER SOCK PAIR;1690,55;  519;0,0066;590,00
21544;SKULLS  WATER TRANSFER TATTOOS;1690,23; 1975;-0,3116;223,60
22789;T-LIGHT HOLDER SWEETHEART HANGING;1688,22;  860;-0,1046;191,40
16161U;WRAP SUKI AND FRIENDS;1687,50; 4075;0,0011;144,00
21207;SKULL AND CROSSBONES  GARLAND;1686,50; 1068;-0,0114;626,40
23368;SET 12 COLOUR PENCILS DOLLY GIRL;1681,50; 2382;-0,2041;13,20
23214;JINGLE BELL HEART ANTIQUE GOLD;1680,48;  782;-0,1447;21,48
22332;SKULLS PARTY BAG + STICKER SET;1679,65; 1033;-0,0895;417,60
22419;LIPSTICK PEN RED;1676,88; 3347;-0,4301;378,00
22913;RED COAT RACK PARIS FASHION;1673,15;  352;-0,1216;395,64
22335;HEART DECORATION PAINTED ZINC;1672,79; 2386;-0,3996;369,60
22076;6 RIBBONS EMPIRE;1669,53; 1260;0,0230;393,17
15058A;BLUE POLKADOT GARDEN PARASOL;1668,49;  200;-0,1584;405,00
21577;SAVE THE PLANET COTTON TOTE BAG;1664,90;  720;-0,2083;198,86
21578;WOODLAND DESIGN  COTTON TOTE BAG;1664,51;  749;-0,1462;226,57
22804;PINK HANGING HEART T-LIGHT HOLDER;1664,16;  880;-0,1202;888,00
84968D;SET OF 16 VINTAGE RED CUTLERY;1661,47;  157;0,0434;771,14
23505;PLAYING CARDS I LOVE LONDON;1660,04; 1207;-0,0803;416,00
23270;SET OF 2 CERAMIC PAINTED HEARTS;1659,37; 1183;-0,0342;405,00
22479;DAISY GARDEN MARKER;1658,57; 1139;-0,4207;0,00
22853;CAT BOWL VINTAGE CREAM;1655,96;  472;-0,1165;38,50
21981;PACK OF 12 WOODLAND TISSUES;1655,36; 5482;-0,6530;425,76
21111;SWISS ROLL TOWEL, CHOCOLATE  SPOTS;1652,27;  901;0,0097;1219,94
23483;HANGING  BUTTERFLY T-LIGHT HOLDER;1651,36; 1340;-0,9028;549,12
47566b;TEA TIME PARTY BUNTING;1651,15;  199;-0,0013;0,00
23273;HEART T-LIGHT HOLDER WILLIE WINKIE;1649,05;  969;-0,1386;52,20
22161;HEART DECORATION RUSTIC HANGING;1647,16; 5088;-2,1253;0,00
23348;CHILDRENS TOY COOKING UTENSIL SET;1642,13;  750;-0,2361;264,92
22284;HEN HOUSE DECORATION;1641,62;  954;-0,2272;0,00
22375;AIRLINE BAG VINTAGE JET SET BROWN;1639,29;  349;-0,2258;252,80
23366;SET 12 COLOURING PENCILS DOILY;1638,70; 2204;-0,2588;211,20
22154;ANGEL DECORATION 3 BUTTONS;1638,35; 3749;-0,2908;155,52
84510A;SET OF 4 ENGLISH ROSE COASTERS;1636,57; 1201;-0,3870;212,00
22474;SPACEBOY TV DINNER TRAY;1636,27;  303;-0,3874;315,15
35953;FOLKART STAR CHRISTMAS DECORATIONS;1634,92; 3582;-0,5212;0,00
85034B;3 WHITE CHOC MORRIS BOXED CANDLES;1633,78;  949;-1,1575;0,00
